userId  itemId  original  prediction
1 7 5.0 4.511
1 9 5.0 4.511
1 11 5.0 4.511
1 15 5.0 3.592
1 17 5.0 5.0
1 24 5.0 4.804
1 27 5.0 4.795
1 31 4.0 5.0
1 34 5.0 4.511
1 36 5.0 4.885
1 39 5.0 4.511
1 44 5.0 4.511
1 49 3.0 4.511
1 53 4.0 4.511
1 65 5.0 4.511
1 80 5.0 4.511
1 85 5.0 4.187
1 90 5.0 4.511
1 92 5.0 1.928
1 93 4.0 3.641
1 115 2.0 2.576
1 116 5.0 3.701
1 121 4.0 3.86
1 123 5.0 4.511
1 128 4.0 4.511
1 129 3.0 4.511
1 140 5.0 4.511
1 148 5.0 4.511
1 150 4.0 4.511
1 158 5.0 4.511
1 159 5.0 2.273
1 165 4.0 4.511
1 167 5.0 4.511
1 170 5.0 4.511
1 178 5.0 4.064
1 183 5.0 4.349
1 201 5.0 4.511
1 208 4.0 4.233
1 211 5.0 4.476
1 215 4.0 4.511
1 217 5.0 4.511
1 227 5.0 4.511
1 233 5.0 4.511
1 246 5.0 4.511
1 250 5.0 4.511
1 259 5.0 4.511
1 261 4.0 5.0
1 264 5.0 4.511
1 265 5.0 5.0
1 271 5.0 3.829
1 272 5.0 3.795
1 281 5.0 4.391
1 287 5.0 3.698
1 288 5.0 4.191
1 296 5.0 4.981
1 301 5.0 4.511
1 318 4.0 5.0
1 323 5.0 5.0
1 325 5.0 4.325
1 334 5.0 4.511
1 336 5.0 4.511
1 347 5.0 4.511
1 348 5.0 5.0
1 353 5.0 4.82
1 355 4.0 4.511
1 363 4.0 3.786
1 370 5.0 4.511
1 372 2.0 4.511
1 390 5.0 4.096
1 394 5.0 4.511
1 397 5.0 4.479
1 398 5.0 5.0
1 401 4.0 3.611
1 407 5.0 4.852
1 414 5.0 4.511
1 415 5.0 3.037
1 429 2.0 4.916
1 438 5.0 5.0
1 442 1.0 3.828
1 443 4.0 4.139
1 444 5.0 4.511
1 446 1.0 4.014
1 451 5.0 4.511
1 453 5.0 3.729
1 457 5.0 3.811
1 459 5.0 4.752
1 462 5.0 4.966
1 463 5.0 2.37
1 464 1.0 3.146
1 480 5.0 3.967
1 483 5.0 5.0
1 488 1.0 4.511
1 497 5.0 2.23
1 498 4.0 5.0
1 503 5.0 4.764
1 504 5.0 4.689
1 506 5.0 4.836
1 508 5.0 4.772
1 522 4.0 4.044
1 524 5.0 4.511
1 525 4.0 5.0
1 530 4.0 4.511
1 533 3.0 2.261
1 536 1.0 5.0
1 538 5.0 3.8
1 549 5.0 4.511
1 553 4.0 4.511
1 554 4.0 4.511
1 557 5.0 4.511
1 563 5.0 3.736
1 566 4.0 3.196
1 575 5.0 4.131
1 579 4.0 5.0
1 583 4.0 5.0
1 588 5.0 5.0
1 592 5.0 4.511
1 595 5.0 2.254
1 597 4.0 4.971
1 603 5.0 5.0
1 607 2.0 3.138
1 623 5.0 5.0
1 626 5.0 2.801
1 628 4.0 4.922
1 637 5.0 2.497
1 641 5.0 5.0
1 646 5.0 5.0
1 647 5.0 4.301
1 650 5.0 4.335
1 651 5.0 4.946
1 659 3.0 4.577
1 665 4.0 4.678
1 670 5.0 5.0
1 672 5.0 3.064
1 248 5.0 3.622
1 676 4.0 3.649
1 687 3.0 5.0
1 696 3.0 4.511
1 697 5.0 4.316
1 699 4.0 4.173
1 709 4.0 4.383
1 712 5.0 5.0
1 718 5.0 5.0
1 726 1.0 5.0
2 732 4.0 4.722
2 750 5.0 4.184
3 753 5.0 5.0
3 754 5.0 5.0
3 758 4.0 4.434
3 760 5.0 5.0
3 766 5.0 5.0
3 768 4.0 3.766
3 770 5.0 3.038
4 731 5.0 5.0
4 775 4.0 4.389
4 784 3.0 4.389
4 787 5.0 4.389
4 788 5.0 4.389
4 793 5.0 4.389
4 807 4.0 4.389
4 810 5.0 4.389
4 813 3.0 4.389
4 816 5.0 4.389
4 819 2.0 4.389
4 822 5.0 4.389
4 823 5.0 4.389
4 831 4.0 4.389
4 834 5.0 4.389
4 836 5.0 4.389
4 839 5.0 4.389
4 841 4.0 4.389
4 843 5.0 4.389
4 848 5.0 4.389
4 849 5.0 4.389
4 854 5.0 4.145
4 856 5.0 5.0
4 860 5.0 5.0
4 865 5.0 4.389
4 866 4.0 4.389
4 574 5.0 5.0
4 882 5.0 4.389
4 884 3.0 5.0
4 886 4.0 4.389
4 887 5.0 4.389
4 892 5.0 4.389
4 898 5.0 5.0
4 900 5.0 4.389
4 902 5.0 5.0
4 903 5.0 2.815
4 907 5.0 4.442
4 911 5.0 4.502
4 919 4.0 3.04
4 927 5.0 4.201
4 929 4.0 3.405
4 931 5.0 5.0
4 936 3.0 3.327
4 942 5.0 5.0
4 943 3.0 4.389
4 948 5.0 5.0
4 951 4.0 4.389
5 960 3.0 4.188
5 962 4.0 4.02
5 963 4.0 4.188
5 964 5.0 4.288
5 965 4.0 4.445
5 968 5.0 3.713
5 970 4.0 4.188
6 975 5.0 4.409
6 362 4.0 4.776
6 980 5.0 4.985
6 992 5.0 5.0
6 994 5.0 4.86
6 996 4.0 2.561
6 997 5.0 3.293
6 999 4.0 4.409
6 1004 5.0 4.245
6 1014 4.0 4.409
6 1017 2.0 4.409
6 1018 5.0 3.979
6 450 5.0 4.711
6 1021 5.0 5.0
6 1023 5.0 5.0
6 1037 5.0 3.951
6 1041 5.0 4.409
6 1043 5.0 4.492
6 1047 5.0 5.0
6 1053 4.0 4.409
7 1056 3.0 4.392
7 1058 4.0 4.215
7 1060 5.0 4.215
7 1063 5.0 5.0
7 1073 5.0 3.85
7 1079 5.0 4.296
7 1087 4.0 4.215
7 1088 4.0 4.215
7 1089 5.0 4.215
7 1093 4.0 4.215
7 1102 5.0 4.215
7 345 5.0 3.662
7 1112 5.0 4.215
7 1113 3.0 5.0
7 1119 4.0 4.12
7 1121 5.0 4.215
8 1127 3.0 4.19
8 1129 4.0 4.08
8 1130 5.0 4.19
8 1133 5.0 4.19
8 1151 5.0 4.19
8 1155 4.0 3.765
8 1160 4.0 4.19
8 1164 5.0 4.19
8 1168 5.0 4.19
8 1170 5.0 4.19
8 1171 5.0 4.19
8 1173 4.0 4.19
8 1178 5.0 4.19
8 1181 5.0 4.19
8 1185 5.0 3.523
8 1190 5.0 5.0
8 1193 5.0 4.221
8 1208 5.0 5.0
8 1231 4.0 3.093
8 1238 5.0 4.159
8 1239 5.0 4.19
8 1242 5.0 4.018
8 1245 3.0 3.975
8 1247 4.0 3.643
8 1248 5.0 3.747
8 1249 4.0 4.282
8 1250 3.0 3.038
9 1253 5.0 4.284
9 1258 4.0 4.284
9 1261 5.0 4.284
9 1265 4.0 4.284
9 1266 4.0 4.7
9 1268 4.0 4.284
9 1274 5.0 4.284
9 1275 4.0 4.284
9 1279 5.0 4.284
9 1284 5.0 4.284
9 1286 4.0 4.284
9 1287 5.0 4.657
9 1292 4.0 4.284
9 1303 5.0 3.052
9 1306 5.0 4.284
9 1311 5.0 4.358
9 1320 2.0 2.427
9 1325 4.0 4.284
9 1328 5.0 5.0
9 1331 3.0 4.959
9 1332 5.0 4.284
9 1341 5.0 2.474
9 1351 5.0 4.381
9 1353 2.0 4.284
9 1355 5.0 4.581
9 1366 2.0 3.818
9 1370 4.0 4.284
9 1376 5.0 4.292
9 1383 3.0 3.563
9 1392 5.0 4.284
9 1397 4.0 4.541
9 1403 5.0 4.516
9 1405 4.0 4.284
9 1408 1.0 4.011
9 1007 3.0 3.987
9 1413 5.0 4.0
9 1416 5.0 4.592
9 1418 5.0 4.423
9 1419 5.0 4.031
9 1421 4.0 3.623
9 1428 4.0 4.284
9 1443 2.0 3.395
9 1446 3.0 4.912
9 1450 4.0 4.273
9 1453 2.0 4.41
9 1455 3.0 4.284
9 1457 5.0 4.273
9 1465 2.0 4.284
9 1474 5.0 4.284
9 1484 4.0 4.284
9 1485 3.0 4.284
9 1488 3.0 4.284
9 1490 5.0 4.284
9 1493 5.0 4.284
9 1495 5.0 4.284
9 1497 4.0 5.0
9 1500 4.0 4.284
9 1509 5.0 4.284
9 1524 4.0 4.284
9 1526 4.0 4.238
9 1534 5.0 4.284
9 1536 4.0 4.909
9 1541 4.0 4.284
9 1542 5.0 3.606
9 1546 4.0 3.594
9 1548 5.0 4.507
9 1549 5.0 4.841
9 1550 5.0 4.284
9 1555 5.0 4.284
9 1556 5.0 4.284
9 1559 4.0 4.284
9 1562 5.0 4.284
9 1563 5.0 4.284
9 1577 2.0 4.284
9 1582 4.0 4.284
9 1591 5.0 4.701
9 1592 3.0 4.284
9 1597 1.0 4.284
9 1612 2.0 4.286
10 1621 4.0 4.383
10 1622 4.0 4.383
10 1623 4.0 2.164
10 1625 4.0 4.383
10 1636 4.0 2.874
10 1639 4.0 4.383
10 1645 5.0 4.383
10 1657 5.0 4.383
10 1366 5.0 3.949
10 1658 5.0 4.181
10 1668 5.0 4.383
10 1669 5.0 4.463
10 1674 5.0 4.845
10 1684 5.0 3.962
10 1695 5.0 4.383
10 1696 5.0 3.559
10 1703 5.0 4.383
10 1706 5.0 4.976
10 1715 5.0 4.49
10 1718 1.0 4.383
10 1721 5.0 4.383
10 1722 5.0 4.675
10 1725 4.0 4.661
10 1727 5.0 4.716
10 1730 5.0 4.307
10 1731 5.0 4.383
10 1736 5.0 4.831
10 1359 5.0 3.864
10 1742 5.0 4.383
10 1746 5.0 5.0
10 1755 5.0 4.749
10 1762 4.0 4.383
10 1763 5.0 4.383
10 1764 3.0 4.383
10 1002 5.0 4.81
10 1767 3.0 3.605
10 1777 5.0 4.383
10 1781 5.0 5.0
10 1784 5.0 4.013
10 1788 4.0 4.737
10 1792 4.0 5.0
10 1794 4.0 3.28
10 1805 5.0 4.555
10 1807 5.0 4.413
10 1808 4.0 3.614
10 1809 4.0 4.605
10 1819 1.0 3.155
10 1822 5.0 4.463
10 1825 5.0 3.668
10 1833 4.0 5.0
10 1847 4.0 4.007
10 1853 5.0 3.928
10 1854 5.0 5.0
10 1858 5.0 4.274
10 1867 3.0 1.971
10 1883 5.0 4.775
10 1886 4.0 2.974
10 1892 4.0 4.756
10 1901 3.0 3.224
10 1916 4.0 3.589
10 1919 4.0 4.974
10 1922 5.0 4.754
10 1927 5.0 5.0
10 1932 4.0 4.568
10 1935 5.0 4.339
10 1938 4.0 5.0
10 1941 4.0 5.0
10 1945 4.0 5.0
10 1947 5.0 2.365
10 1955 4.0 5.0
10 1956 4.0 4.002
10 1961 5.0 3.832
10 1963 2.0 4.822
10 1966 5.0 3.581
10 1969 3.0 4.644
10 1977 4.0 4.775
10 477 4.0 4.413
10 1980 5.0 4.191
10 1985 5.0 5.0
10 1986 5.0 4.83
10 1443 4.0 3.748
10 1988 4.0 3.887
10 609 5.0 4.59
10 1990 4.0 3.035
10 1991 5.0 4.734
10 2003 5.0 4.711
10 2013 3.0 4.891
10 2017 4.0 4.261
10 2018 4.0 4.963
10 2022 4.0 5.0
10 2026 5.0 4.617
10 2036 5.0 0.737
10 2040 5.0 4.378
10 2042 5.0 5.0
10 2044 4.0 4.511
10 2046 4.0 5.0
10 2048 4.0 4.118
10 2054 5.0 3.793
10 2055 3.0 4.023
10 2060 5.0 4.424
10 2062 4.0 4.085
10 2063 5.0 4.529
10 2064 5.0 4.794
10 2080 3.0 4.107
10 1429 5.0 3.871
10 2095 4.0 4.077
10 720 4.0 5.0
10 2098 2.0 3.92
